Role,Degree,Subject,Interests,UserId,Name
Student,Bachelors,Computer Science,"""Machine Learning"", ""Software Development"", ""Artificial Intelligence""",rp5rxsd8f1wf6pjmr0rekk2r,Hina Chaudhry
Student,Bachelors,Computer Science,"""Machine Learning"", ""Data Science"", ""Human Computer Interaction""",qw9247f4ruz3ms703pahybrq,Ayesha Javed
Faculty,Doctorate,Computer Science,"""Machine Learning""",dr2ae3sjqk9waxp1u909bvcj,Fatima Sheikh
Faculty,Doctorate,Computer Science,"""Networking"", ""Software Development""",0chjbd6sgicll9l433h8elcc,Usman Raza
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking""",2fpytqsvsw7xyyfv3c4ostfc,Hassan Chaudhry
Industrial,Masters,Data Science,"""Artificial Intelligence"", ""Human Computer Interaction""",orveaclskbelogqfmk0e1zj2,Ahmed Raza
Industrial,Bachelors,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence""",jh7scu2f8fvflx20w0phjizw,Usman Hussain
Student,Bachelors,Software Engineering,"""Networking"", ""Artificial Intelligence"", ""Software Development"", ""Data Science""",19gzkgtoatnxi8mt50qn5haf,Usman Malik
Faculty,Masters,Computer Science,"""Networking""",xv3xy3m1te2rmr8g6js9rowe,Hina Sheikh
Faculty,Masters,Computer Science,"""Human Computer Interaction""",wc0701r6ymptjkac7wwdiww1,Sara Chaudhry
Faculty,Masters,Software Engineering,"""Machine Learning""",feenf5jixh19vddtbc51nuwu,Ayesha Butt
Faculty,Masters,Data Science,"""Software Development"", ""Data Science""",cqahqra3i0qswaz096cr00v1,Usman Iqbal
Industrial,Bachelors,Computer Science,"""Software Development"", ""Artificial Intelligence"", ""Data Science""",82mycyk361gquvq4gz1ou7ay,Usman Hussain
Industrial,Doctorate,Data Science,"""Machine Learning""",afv4pbdtrme39280vz3cgf6s,Ayesha Khan
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence"", ""Software Development""",x13t6om843ja6z2zy840ts9o,Zainab Iqbal
Faculty,Doctorate,Software Engineering,"""Human Computer Interaction""",tvq56n6w2fh28n4xgcei8uym,Hassan Hussain
Student,Masters,Software Engineering,"""Software Development"", ""Data Science"", ""Machine Learning""",0t26yuvhbkyb6eoe71z7zvez,Hina Iqbal
Faculty,Doctorate,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction""",bcdm8ren8fppdt7vsty05lm0,Omar Iqbal
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Software Development""",tii6243zipdrwerd71tnf7bi,Sara Khan
Industrial,Doctorate,Computer Science,"""Software Development"", ""Data Science""",5ug8nzhhl8526h0fwaxv8j9c,Fatima Butt
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Software Development""",fnrn7b8pc24vxuczu5bz5pbq,Ayesha Malik
Industrial,Bachelors,Data Science,"""Artificial Intelligence"", ""Networking""",qe7zpyjmyq85zhexazjbcsxi,Hassan Raza
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Data Science"", ""Networking"", ""Machine Learning""",ga45ryr0xxku4ndnyx7j4qwu,Sara Khan
Student,Bachelors,Data Science,"""Machine Learning""",pbs6ptr3ezrrbb4rjiezzs1h,Omar Ahmed
Faculty,Masters,Data Science,"""Data Science"", ""Artificial Intelligence"", ""Software Development"", ""Human Computer Interaction""",x64nud3ebn4mkge35iaqq3rj,Ali Sheikh
Industrial,Doctorate,Computer Science,"""Data Science"", ""Software Development""",hkup3zoxl0j6uv9hcun28gem,Hassan Hussain
Faculty,Masters,Data Science,"""Software Development"", ""Data Science""",ievwy9u8pg6dfle7en7myvtr,Zainab Sheikh
Faculty,Doctorate,Data Science,"""Machine Learning"", ""Artificial Intelligence""",wmc50yqc8nhpox6edlco037x,Usman Butt
Faculty,Masters,Data Science,"""Software Development"", ""Machine Learning"", ""Networking""",6q3voj912ba941cci0omo6zc,Ayesha Butt
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Machine Learning""",if0uz1spkgjwd7ojq0u1z04p,Omar Ahmed
Student,Bachelors,Software Engineering,"""Software Development"", ""Data Science"", ""Human Computer Interaction""",w78147v8f504qdka2bbr71es,Zainab Malik
Student,Doctorate,Computer Science,"""Data Science""",4j727ojtgwb754nut397p2en,Ayesha Khan
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Data Science"", ""Machine Learning""",b9g1muk2j2y6191kee2n6cqn,Fatima Sheikh
Industrial,Bachelors,Software Engineering,"""Machine Learning"", ""Artificial Intelligence"", ""Networking""",rzjdekcqmp2goai7punj2pl7,Usman Butt
Industrial,Doctorate,Data Science,"""Artificial Intelligence"", ""Machine Learning"", ""Software Development""",bbfj34xj3vdtz9i09j2gg315,Usman Hussain
Student,Doctorate,Software Engineering,"""Human Computer Interaction""",gnbaindg5g3ljg4crbcpjori,Usman Hussain
Industrial,Doctorate,Data Science,"""Artificial Intelligence""",mkyo0cmduwgngpzl6lr1b52b,Hassan Raza
Faculty,Masters,Software Engineering,"""Software Development""",mo6zpqbli978n645155whnez,Ayesha Raza
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Networking"", ""Artificial Intelligence""",eqfsweiivdpc00ao8v4g6ug3,Sara Sheikh
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Artificial Intelligence""",4rxwxx2btxfk64g6o7glc98v,Usman Iqbal
Student,Doctorate,Computer Science,"""Human Computer Interaction""",zjx1ctolcras2fgqu0xs5qk9,Ahmed Raza
Student,Masters,Computer Science,"""Machine Learning""",qq90esx1hiu1fovs4ndj9bju,Usman Javed
Student,Bachelors,Computer Science,"""Data Science""",am3gn7y4al6ld9ueg5vqhki0,Ayesha Ahmed
Faculty,Masters,Data Science,"""Data Science""",6o8t0qz8ew4nr4osak8ipy29,Omar Malik
Faculty,Masters,Computer Science,"""Networking""",jovq0jbi4gyjpyzdcmuyjwk7,Hina Butt
Faculty,Doctorate,Data Science,"""Software Development"", ""Artificial Intelligence""",co778dz9ikxikrxxyworjzpo,Ali Butt
Student,Bachelors,Data Science,"""Human Computer Interaction""",w545xc6tr2se7zpdbpie27dg,Fatima Malik
Faculty,Masters,Software Engineering,"""Networking"", ""Software Development""",dl1ejtwzgpm1860ii0v6pb6d,Ahmed Raza
Student,Doctorate,Computer Science,"""Artificial Intelligence""",3yr758h73k0nuh5u5h13ee16,Ali Butt
Industrial,Doctorate,Computer Science,"""Data Science"", ""Artificial Intelligence"", ""Software Development"", ""Machine Learning""",9wk13cr4hsk0b2i3909jy5hc,Fatima Iqbal
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Networking"", ""Software Development""",ys2di6pjaeki9qlxcq4y6uiu,Fatima Sheikh
Faculty,Masters,Computer Science,"""Software Development""",xkgpezyl0guzpjwnyn4io00i,Usman Raza
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Data Science"", ""Machine Learning"", ""Software Development""",9vtau24wunqvmkw1o1l9xhlm,Ali Hussain
Industrial,Bachelors,Software Engineering,"""Software Development"", ""Machine Learning"", ""Human Computer Interaction""",z3gvxjbeu70dzn4uuk20egjf,Ahmed Malik
Faculty,Doctorate,Computer Science,"""Artificial Intelligence""",qet5bcebrx3v168nxlwof35m,Hina Iqbal
Faculty,Masters,Data Science,"""Human Computer Interaction""",tvzfoz5dg3t1lrlivuc06417,Sara Chaudhry
Faculty,Masters,Computer Science,"""Networking"", ""Software Development"", ""Human Computer Interaction"", ""Machine Learning""",7021hb3ovzedc2gfl63qeiwg,Hassan Khan
Student,Masters,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Software Development""",0zt5apicwjsmlpnduezdhncm,Omar Sheikh
Industrial,Doctorate,Computer Science,"""Machine Learning"", ""Human Computer Interaction""",dw4blypvvce99eofj4i60pb9,Ahmed Sheikh
Student,Doctorate,Computer Science,"""Artificial Intelligence""",pe8l44yg9cx9fmgjfclalo6a,Ayesha Iqbal
Faculty,Masters,Data Science,"""Machine Learning""",47jtlwd2nlkhid8idlgifb4b,Fatima Iqbal
Industrial,Bachelors,Data Science,"""Software Development"", ""Machine Learning""",ql769ciqcxw497hiw2rzgpye,Sara Malik
Student,Masters,Computer Science,"""Machine Learning"", ""Data Science"", ""Human Computer Interaction""",lq51atpsviom3y7eizulw05v,Fatima Khan
Student,Doctorate,Computer Science,"""Data Science""",g0yohffcu7jnr1sdw616f9td,Ayesha Ahmed
Student,Doctorate,Data Science,"""Data Science"", ""Machine Learning"", ""Software Development"", ""Networking""",a46usqw0y7pmxe157wlf6n3i,Hina Butt
Industrial,Bachelors,Software Engineering,"""Software Development"", ""Networking""",5g05v0cqmx2l6aitm7eidnw3,Ayesha Hussain
Industrial,Bachelors,Software Engineering,"""Human Computer Interaction""",g6fv0b0cfxcpvl9h8bf9bz7t,Ahmed Sheikh
Student,Masters,Data Science,"""Software Development""",9colxvajb166gkgos7lr263k,Hassan Javed
Student,Bachelors,Data Science,"""Artificial Intelligence""",m659ltw19zwpm2nm4jx46ok1,Zainab Malik
Industrial,Doctorate,Computer Science,"""Software Development"", ""Artificial Intelligence"", ""Networking""",yi69ddshih6w4qudwfkigs0r,Ali Ahmed
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Networking"", ""Machine Learning""",h7v1w51bjfvytm6yvowfqc6h,Ayesha Chaudhry
Industrial,Bachelors,Computer Science,"""Machine Learning"", ""Artificial Intelligence""",pq68odv8ohuwer1ujpzj3hvo,Fatima Chaudhry
Student,Bachelors,Computer Science,"""Data Science""",wap0v7u0t2pbc29smz9oayih,Sara Khan
Student,Doctorate,Software Engineering,"""Machine Learning""",ojm1j5fhk55x7boqu4gvr8hg,Hina Butt
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Human Computer Interaction""",v5n9o938b8lanc975ajsqte8,Ayesha Iqbal
Industrial,Doctorate,Data Science,"""Software Development""",dfeo6ntapmh0so0e6qxfzqh8,Usman Iqbal
Student,Bachelors,Software Engineering,"""Data Science""",3b3ps4m4js03bpx0bl7zm197,Hina Malik
Student,Doctorate,Software Engineering,"""Data Science""",013wpq9ox6adefvt5xh3uyfm,Fatima Raza
Student,Doctorate,Software Engineering,"""Human Computer Interaction""",o35whke3he195ycwo0k5jcuy,Ayesha Ahmed
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction""",73wjyfyxgh4ixxs0p4v7fvpm,Hassan Malik
Industrial,Bachelors,Data Science,"""Data Science""",kdi2cf9jf9ubc0nqjo957u41,Fatima Chaudhry
Industrial,Doctorate,Computer Science,"""Artificial Intelligence"", ""Data Science""",qlo4c0q7png78dag057l23hm,Ayesha Raza
Student,Bachelors,Data Science,"""Data Science"", ""Artificial Intelligence""",o6zvir5s58xm2hzofsjntafi,Hassan Malik
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Networking"", ""Artificial Intelligence""",xqq3woou9bdb1htu18bx6spj,Hassan Malik
Faculty,Doctorate,Computer Science,"""Artificial Intelligence""",rlm5r39u5b8pxkj4i2ro0hc9,Sara Raza
Faculty,Doctorate,Computer Science,"""Artificial Intelligence""",smo3fwbusm236xvwqltmq46n,Zainab Malik
Faculty,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Human Computer Interaction""",kk8su494dvpmyg9z4pvlybzm,Ahmed Javed
Faculty,Doctorate,Software Engineering,"""Software Development"", ""Data Science""",ren0ox1tw4rv1928fainnek7,Ali Hussain
Faculty,Doctorate,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Networking""",oml9xwtc9jm4pazkmnrogusp,Zainab Ahmed
Industrial,Bachelors,Computer Science,"""Software Development""",jjzws5urqrww95ql38c5mida,Fatima Ahmed
Faculty,Doctorate,Data Science,"""Networking""",iwo6hateashd9gx1nm4ox9gc,Omar Iqbal
Industrial,Doctorate,Computer Science,"""Data Science"", ""Machine Learning""",2nb0nsjffxizkxuv6voq25x9,Omar Sheikh
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking""",4fcxt1jqm44hvnz8spcg75wy,Hina Javed
Faculty,Masters,Data Science,"""Networking""",jwy9vmnsfze53h9oq05mngai,Omar Javed
Student,Doctorate,Data Science,"""Artificial Intelligence""",gcezlono3a3tcabzg8u2uz2h,Ayesha Sheikh
Faculty,Masters,Data Science,"""Data Science"", ""Networking"", ""Machine Learning""",9xwk2nzhca6bhc5rbqyfzw5n,Zainab Raza
Industrial,Bachelors,Data Science,"""Machine Learning""",1zsivg4bcnxnnilvckrpfra0,Ali Sheikh
Industrial,Doctorate,Data Science,"""Machine Learning""",n8svl16gnlco8p8et9mwuh7v,Hassan Chaudhry
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Data Science"", ""Networking"", ""Human Computer Interaction""",5ldryl0qfqgkwx4nqz5h4uad,Fatima Javed
Student,Masters,Computer Science,"""Machine Learning""",36qhijeswsewe9juenu5i6cd,Ahmed Ahmed
Faculty,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Software Development""",l36atqov3lhc12alhpj0wk2p,Ali Khan
Industrial,Doctorate,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Data Science""",kbnpijhetsckkzzyc47ncjf6,Ayesha Hussain
Faculty,Masters,Data Science,"""Machine Learning"", ""Software Development""",8qnedqi7abe8hl5zqcvn6hgf,Sara Malik
Faculty,Doctorate,Computer Science,"""Software Development"", ""Data Science"", ""Human Computer Interaction""",rb80hrqpb7gajyw3qrfrzbzc,Hassan Javed
Industrial,Bachelors,Software Engineering,"""Machine Learning"", ""Software Development"", ""Networking""",apbfbi6bz723qr6j9umqdcxp,Ahmed Khan
Industrial,Bachelors,Software Engineering,"""Software Development""",hmz7s1knky4a9xenyonlpq3e,Omar Raza
Student,Doctorate,Data Science,"""Data Science"", ""Networking"", ""Machine Learning"", ""Software Development""",kscpl97tl8bgwfhxlnd9s9bk,Hassan Chaudhry
Faculty,Masters,Data Science,"""Data Science""",wx1uqbc0hjj6lig670443qzx,Usman Iqbal
Faculty,Masters,Computer Science,"""Human Computer Interaction""",hzryr2mizjkh30mu7tromn6i,Zainab Raza
Student,Doctorate,Computer Science,"""Software Development"", ""Networking"", ""Data Science"", ""Human Computer Interaction""",a73j65omr3ds4sshp25ebdl7,Ayesha Sheikh
Student,Masters,Data Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning""",4lmd20xml7a26ql7pbkz6v8f,Ayesha Raza
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Data Science"", ""Machine Learning""",qyho7pmxhdqize9jlcl5o83d,Sara Hussain
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Machine Learning"", ""Data Science"", ""Artificial Intelligence""",3e1k11dzojvhs149oavwdawr,Ayesha Chaudhry
Industrial,Bachelors,Computer Science,"""Human Computer Interaction"", ""Machine Learning""",cfldajrzpl588jm6e0o40wl3,Omar Sheikh
Industrial,Masters,Software Engineering,"""Software Development"", ""Artificial Intelligence""",hqeb53gf15yxcmsi1s6io5xs,Zainab Hussain
Student,Doctorate,Software Engineering,"""Artificial Intelligence""",bhu85zabk7bd48ief888k1o8,Zainab Malik
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence""",6cgx1h8glqfc0rti5g8jr43a,Fatima Chaudhry
Faculty,Doctorate,Data Science,"""Human Computer Interaction""",osyrh3dqp354gm56j6dwqypk,Sara Butt
Student,Bachelors,Computer Science,"""Artificial Intelligence""",q1ineep27aq71762p3vgtwbs,Sara Iqbal
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence""",0q7u1s90wton3f9ir1jw41dy,Zainab Malik
Industrial,Masters,Software Engineering,"""Networking""",y6hkiutuycbea9rbexbt249i,Fatima Iqbal
Industrial,Bachelors,Computer Science,"""Data Science""",6l8t6vpop5n9pxih4mxk5b0t,Ahmed Khan
Student,Bachelors,Data Science,"""Artificial Intelligence""",gnas4wv1n9ytaxe4zzwkbeby,Zainab Raza
Industrial,Masters,Computer Science,"""Artificial Intelligence"", ""Software Development"", ""Human Computer Interaction""",mt35257unq18x1h2eu9nntpu,Sara Butt
Student,Masters,Computer Science,"""Networking""",wm0thh3p41gxxyzei400mtj6,Sara Iqbal
Faculty,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Machine Learning"", ""Artificial Intelligence""",uclxnuieidazfi8v3pat7us5,Fatima Raza
Faculty,Masters,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Networking""",14zdkltgirfxgp1xwtazpsfo,Ayesha Javed
Student,Doctorate,Data Science,"""Networking""",edutpim50njhl0yoo8xl13o9,Hassan Hussain
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Data Science"", ""Software Development""",0y7rsakhaw7wistbcp12k4fk,Ayesha Sheikh
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Machine Learning""",6gs3aymwx1e793krmh38d1hb,Sara Sheikh
Industrial,Masters,Data Science,"""Human Computer Interaction"", ""Software Development""",tgqpjucwyqgplslpdrxb61za,Ali Hussain
Faculty,Masters,Data Science,"""Machine Learning"", ""Networking"", ""Data Science""",jejazgzymbppo8j8n5z97dkv,Zainab Raza
Student,Doctorate,Data Science,"""Artificial Intelligence""",jpk4sqf5jvrm8ky7d456hvq1,Omar Javed
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Networking""",sqs5hkb5on746v9thsdw7mto,Sara Chaudhry
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Networking""",sm5y4gs99808xqw82ledskpg,Zainab Malik
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",791b3yd1vaimeyo6uzu79it4,Sara Javed
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning""",ntfz36bp0veeejrewx96ekz5,Omar Butt
Student,Doctorate,Computer Science,"""Human Computer Interaction""",h4yg3z0h5pc03n64zpwncafr,Omar Chaudhry
Student,Bachelors,Data Science,"""Software Development"", ""Human Computer Interaction"", ""Artificial Intelligence""",s4is2p7vauroo35bp10vd9fx,Zainab Sheikh
Student,Bachelors,Data Science,"""Machine Learning""",j5y5f6czgiesgxmw9hfmjka9,Omar Butt
Industrial,Bachelors,Software Engineering,"""Machine Learning"", ""Artificial Intelligence""",953cpf9z25sxx4sqt4px15bw,Sara Butt
Student,Masters,Data Science,"""Human Computer Interaction""",kl0gk7er4j8arldsmp1bc1d1,Sara Butt
Industrial,Doctorate,Data Science,"""Software Development"", ""Data Science""",7cduzgtcdqb4u5z0fofxb61k,Hina Raza
Faculty,Masters,Software Engineering,"""Machine Learning"", ""Data Science"", ""Software Development""",jf4gw6eh0gbf2wdpn0jd7v8r,Hassan Ahmed
Industrial,Masters,Software Engineering,"""Networking""",rlu1nr2qd2s0ncxz2p0tekql,Ayesha Raza
Student,Bachelors,Computer Science,"""Data Science""",akby4tc61t5eo7c6jcwab81s,Ahmed Malik
Industrial,Masters,Computer Science,"""Networking""",e80tfk3mhihjnwb5lwr4kq27,Ahmed Khan
Industrial,Doctorate,Data Science,"""Networking"", ""Data Science""",cl4nkb4ovfygpos713q0dq6p,Zainab Ahmed
Faculty,Masters,Computer Science,"""Software Development"", ""Human Computer Interaction""",j8relx52l9z664f0wnby4odl,Ahmed Raza
Faculty,Masters,Software Engineering,"""Software Development"", ""Data Science"", ""Human Computer Interaction"", ""Machine Learning""",gdpdaelksiybf8i0zhlbfekp,Fatima Ahmed
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Machine Learning""",26q8y08fcnsrr4os1kqf0g99,Zainab Ahmed
Student,Masters,Data Science,"""Machine Learning"", ""Software Development""",wp1wfnbs09e5teawq2njjfeq,Usman Khan
Industrial,Doctorate,Data Science,"""Data Science""",ptjbn698zeamoyectb4v9x7u,Sara Iqbal
Industrial,Bachelors,Software Engineering,"""Software Development"", ""Human Computer Interaction""",tr47b0g0nr7v0ft9x4xjb051,Usman Hussain
Student,Bachelors,Software Engineering,"""Networking"", ""Software Development""",iog1a5kh1zqfjicvbebl7k2z,Ali Sheikh
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",1ubgdgdp33y1oauso4gitta1,Zainab Butt
Industrial,Masters,Computer Science,"""Networking"", ""Machine Learning"", ""Software Development""",0x7y190fb9fb3unhikeruwvh,Zainab Malik
